name,population,latitude,longitude,dst_offset,raw_offset,total_offset,timezone,sunset_utc
antipolo,549541.0,14.5886,121.1757,0,28800,28800,0,1406715900
salta,548288.0,-24.785896,-65.411664,0,-10800,-10800,0,1406757360
neijiang,546854.0,29.583536,105.06216,0,28800,28800,0,1406721180
bremen,546429.0,53.083333,8.8,3600,3600,7200,0,1406748120
sharjah,543942.0,25.35731,55.403304,0,14400,14400,0,1406732700
matola,543907.0,-25.9622222,32.4588889,0,7200,7200,0,1406733780
dushanbe,543105.0,38.56,68.7738889,0,18000,18000,0,1406731020
sargodha,542761.0,32.083611,72.671111,0,18000,18000,0,1406729280
vilnius,542381.0,54.6833333,25.3166667,3600,7200,10800,0,1406744640
cancun,542156.0,21.166667,-86.833333,3600,-21600,-18000,0,1406766420
portland,540513.0,45.5236111,-122.675,3600,-28800,-25200,0,1406778060
maanshan,540198.0,31.695678,118.498248,0,28800,28800,0,1406718180
las vegas,540111.0,36.175,-115.1363889,3600,-28800,-25200,0,1406774820
yangzhou,539715.0,32.397222,119.435833,0,28800,28800,0,1406718060
novokuznetsk,539622.0,53.7557,87.1099,0,25200,25200,0,1406729460
kisangani,539164.0,0.516667,25.2,0,7200,7200,0,1406734140
port said,538377.0,31.2666667,32.3,0,7200,7200,0,1406738880
warri,536068.0,5.516667,5.75,0,3600,3600,0,1406742840
tanggu,535298.0,39.021111,117.646944,0,28800,28800,0,1406719320
oklahoma city,532950.0,35.4675,-97.5161111,3600,-21600,-18000,0,1406770500
jiangmen,532419.0,22.583333,113.083333,0,28800,28800,0,1406718540
nashville,530852.0,36.1658333,-86.7844444,3600,-21600,-18000,0,1406768040
beira,530706.0,-19.8436111,34.8388889,0,7200,7200,0,1406733780
guntur,530636.0,16.3,80.45,0,19800,19800,0,1406725800
yueyang,528140.0,29.140833,113.111111,0,28800,28800,0,1406719200
cangzhou,527681.0,38.316667,116.866667,0,28800,28800,0,1406719380
san salvador,526013.0,13.7086111,-89.2030556,0,-21600,-21600,0,1406766300
torreon,524084.0,25.55,-103.433333,3600,-21600,-18000,0,1406770800
dehra dun,522135.0,30.316667,78.033333,0,19800,19800,0,1406727780
cuiaba,521961.0,-15.583333,-56.083333,0,-14400,-14400,0,1406755980
lopez mateos,521056.0,19.558333,-99.261389,3600,-21600,-18000,0,1406769240
petaling jaya,520712.0,3.083333,101.65,0,28800,28800,0,1406719620
ryazan,520177.0,54.6269,39.6916,0,14400,14400,0,1406741160
hanover,519144.0,52.366667,9.716667,3600,3600,7200,0,1406747760
tyumen,519124.0,57.152222,65.527222,0,21600,21600,0,1406735760
durgapur,518922.0,23.483333,87.316667,0,19800,19800,0,1406724840
tucson,518907.0,32.2216667,-110.9258333,0,-25200,-25200,0,1406773320
ajmer,517947.0,26.45,74.633333,0,19800,19800,0,1406728200
lisbon,517798.0,38.716667,-9.133333,3600,0,3600,0,1406749740
changde,517780.0,29.046378,111.678304,0,28800,28800,0,1406719500
jiaozuo,517540.0,35.239722,113.233056,0,28800,28800,0,1406719860
ulhasnagar,516625.0,19.216667,73.15,0,19800,19800,0,1406727840
kolhapur,516184.0,16.7,74.216667,0,19800,19800,0,1406727360
lipetsk,515659.0,52.603111,39.570762,0,14400,14400,0,1406740620
shiliguri,515623.0,26.716111,88.423611,0,19800,19800,0,1406724900
goteborg,515253.0,57.716667,11.966667,3600,3600,7200,0,1406748780
eskisehir,515155.0,39.776667,30.520556,3600,7200,10800,0,1406740380
hamadan,514134.0,34.799216,48.514556,3600,12600,16200,0,1406735400
penza,512607.0,53.200656,45.004643,0,14400,14400,0,1406739480
tembisa,511671.0,-25.996363,28.226802,0,7200,7200,0,1406734800
makati,510383.0,14.566667,121.033333,0,28800,28800,0,1406715900
asuncion,508797.0,-25.266667,-57.666667,0,-14400,-14400,0,1406755440
san nicolas de los garza,507837.0,25.75,-100.3,3600,-21600,-18000,0,1406770080
wuhu,507524.0,31.14607,118.57069,0,28800,28800,0,1406718120
toluca,505903.0,19.288333,-99.667222,3600,-21600,-18000,0,1406769300
niigata,505276.0,37.902222,139.023611,0,32400,32400,0,1406714040
duisburg,505271.0,51.433333,6.75,3600,3600,7200,0,1406748240
asansol,504320.0,23.683333,86.983333,0,19800,19800,0,1406724960
arak,503673.0,34.091741,49.689164,3600,12600,16200,0,1406735040
astrakhan,502537.0,46.349683,48.040756,0,14400,14400,0,1406737260
zhuhai,501199.0,22.276944,113.567778,0,28800,28800,0,1406718360
gold coast,501175.0,-28.00029,153.430878,0,36000,36000,0,1406704560
oshogbo,499444.0,7.766667,4.566667,0,3600,3600,0,1406743320
shashi,498780.0,30.307222,112.244722,0,28800,28800,0,1406719500
reynosa,498670.0,26.083333,-98.283333,3600,-21600,-18000,0,1406769600
makhachkala,497967.0,42.976378,47.502356,0,14400,14400,0,1406736780
newcastle,497961.0,-32.927792,151.784485,0,36000,36000,0,1406704440
nuremberg,497593.0,49.447778,11.068333,3600,3600,7200,0,1406746740
tlaquepaque,493667.0,20.65,-103.316667,3600,-21600,-18000,0,1406766720
leipzig,492637.0,51.3,12.333333,3600,3600,7200,0,1406746860
jamnagar,492087.0,22.466667,70.066667,0,19800,19800,0,1406728860
panchiao,491891.0,25.0391667,121.525,0,28800,28800,0,1406716740
aracaju,490184.0,-10.916667,-37.066667,0,-10800,-10800,0,1406751780
san pedro sula,489506.0,15.5,-88.0333333,0,-21600,-21600,0,1406766180
suez,488124.0,29.9666667,32.55,0,7200,7200,0,1406738640
albuquerque,487378.0,35.0844444,-106.6505556,3600,-25200,-21600,0,1406772660
tomsk,485523.0,56.494167,84.974167,0,25200,25200,0,1406734320
nanded,485150.0,19.15,77.333333,0,19800,19800,0,1406726820
saharanpur,484921.0,29.966667,77.55,0,19800,19800,0,1406727840
gulbarga,483655.0,17.333333,76.833333,0,19800,19800,0,1406726760
bhatpara,483175.0,22.871389,88.408889,0,19800,19800,0,1406724540
long beach,482618.0,33.7669444,-118.1883333,3600,-28800,-25200,0,1406775240
feira de santana,481926.0,-12.25,-38.95,0,-10800,-10800,0,1406752140
shah alam,481670.0,3.083333,101.533333,0,28800,28800,0,1406719620
himeji,481496.0,34.816667,134.7,0,32400,32400,0,1406714640
tuxtla gutierrez,481143.0,16.75,-93.116667,3600,-21600,-18000,0,1406767500
gomel,481000.0,52.4416667,30.9833333,0,10800,10800,0,1406742660
dresden,480801.0,51.05,13.75,3600,3600,7200,0,1406746440
hargeysa,478283.0,9.5833333,44.0666667,0,10800,10800,0,1406733960
yazd,477926.0,31.897222,54.3675,3600,12600,16200,0,1406733660
sialkot,477537.0,32.510103,74.54313,0,18000,18000,0,1406728860
kemerovo,477096.0,55.333333,86.083333,0,25200,25200,0,1406730120
yichang,476725.0,30.77135,111.321458,0,28800,28800,0,1406719800
the hague,476587.0,52.083333,4.3,3600,3600,7200,0,1406748960
cuautitlan izcalli,475199.0,19.646944,-99.246667,3600,-21600,-18000,0,1406769240
yinchuan,475101.0,38.468056,106.273056,0,28800,28800,0,1406721960
skopje,474887.0,42.0,21.4333333,3600,3600,7200,0,1406742900
vereeniging,474680.0,-26.673133,27.926147,0,7200,7200,0,1406734800
maoming,473251.0,21.65,110.9,0,28800,28800,0,1406718960
da nang,472255.0,16.067778,108.220833,0,25200,25200,0,1406719080
londrina,471836.0,-23.3,-51.15,0,-10800,-10800,0,1406754120
jiaojiang,470804.0,28.680278,121.442778,0,28800,28800,0,1406717160
matsudo,470287.0,35.783333,139.9,0,32400,32400,0,1406713560
juiz de fora,470201.0,-21.751667,-43.352778,0,-10800,-10800,0,1406752380
san juan,469958.0,-31.5375,-68.536389,0,-10800,-10800,0,1406757420
liverpool,468946.0,53.416667,-3.0,3600,0,3600,0,1406751060
nishinomiya,468929.0,34.716667,135.333333,0,32400,32400,0,1406714520
tula,468830.0,54.202133,37.644294,0,14400,14400,0,1406741520
kawaguchi,468574.0,35.805,139.720556,0,32400,32400,0,1406713560
sacramento,467898.0,38.5816667,-121.4933333,3600,-28800,-25200,0,1406776680
zunyi,466292.0,27.543056,106.823056,0,28800,28800,0,1406720520
belford roxo,466101.0,-22.761995,-43.404654,0,-10800,-10800,0,1406752260
jiaxing,466101.0,30.752198,120.749997,0,28800,28800,0,1406717520
jammu,465600.0,32.733333,74.866667,0,19800,19800,0,1406728800
fresno,465183.0,36.7477778,-119.7713889,3600,-28800,-25200,0,1406776020
lyon,463700.0,45.748457,4.846711,3600,3600,7200,0,1406747520
kananga,463556.0,-5.895833,22.417778,0,7200,7200,0,1406734320
bloemfontein,463084.0,-29.121065,26.214003,0,7200,7200,0,1406734920
xiangfan,462956.0,32.042203,112.144794,0,28800,28800,0,1406719740
gdansk,461865.0,54.36085,18.658291,3600,3600,7200,0,1406746140
calabar,461832.0,4.9517,8.322,0,3600,3600,0,1406742180
panzhihua,461513.0,26.547902,101.705386,0,28800,28800,0,1406721660
joinville,461312.0,-26.3,-48.833333,0,-10800,-10800,0,1406753220
zamboanga,460879.0,6.910255,122.071715,0,28800,28800,0,1406715000
mixco,460576.0,14.633333,-90.606389,0,-21600,-21600,0,1406766720
antwerp,459805.0,51.216667,4.416667,3600,3600,7200,0,1406748720
new orleans,459336.0,29.9544444,-90.075,3600,-21600,-18000,0,1406768040
ichikawa,458249.0,35.719722,139.924722,0,32400,32400,0,1406713500
ujjain,457395.0,23.183333,75.766667,0,19800,19800,0,1406727600
kirov,457387.0,58.596654,49.660068,0,14400,14400,0,1406740020
kota kinabalu,457375.0,5.9749,116.0724,0,28800,28800,0,1406716380
durango,457154.0,24.033333,-104.666667,3600,-21600,-18000,0,1406770920
niteroi,456461.0,-22.90214,-43.130301,0,-10800,-10800,0,1406752200
hengshui,456356.0,37.732222,115.701111,0,28800,28800,0,1406719620
chitungwiza,456206.0,-17.9938889,31.0480556,0,7200,7200,0,1406734860
santa fe,456044.0,-31.629484,-60.701036,0,-10800,-10800,0,1406755560
pontianak,455226.0,-0.033333,109.333333,0,25200,25200,0,1406717520
leeds,455124.0,53.8,-1.583333,3600,0,3600,0,1406750820
sao joao de meriti,454855.0,-22.798614,-43.360894,0,-10800,-10800,0,1406752260
bacolod,453954.0,10.6677,122.9533,0,28800,28800,0,1406715120
manado,451910.0,1.487,124.8455,0,28800,28800,0,1406713920
jining,450327.0,35.405,116.581389,0,28800,28800,0,1406719080
constantine,450126.0,36.365,6.6147222,0,3600,3600,0,1406745660
mesa,449878.0,33.4222222,-111.8219444,0,-25200,-25200,0,1406773680
urfa,449785.0,37.16708,38.793919,3600,7200,10800,0,1406738040
cleveland,449514.0,41.4994444,-81.6955556,3600,-18000,-14400,0,1406767560
virginia beach,449386.0,36.8527778,-75.9783333,3600,-18000,-14400,0,1406765520
chengde,449325.0,40.770278,118.169722,0,28800,28800,0,1406719440
xuchang,449258.0,34.016667,113.816667,0,28800,28800,0,1406719560
sheffield,447048.0,53.366667,-1.5,3600,0,3600,0,1406750700
cheboksary,446786.0,56.132222,47.251944,0,14400,14400,0,1406739780
cagayan de oro,445212.0,8.481111,124.643056,0,28800,28800,0,1406714520
boksburg,445182.0,-26.214953,28.254732,0,7200,7200,0,1406734740
rajpur,444549.0,22.4125,88.418056,0,19800,19800,0,1406724480
amagasaki,442176.0,34.716667,135.416667,0,32400,32400,0,1406714460
malatya,442046.0,38.350183,38.316669,3600,7200,10800,0,1406738280
kansas city,442028.0,39.1141667,-94.6272222,3600,-21600,-18000,0,1406770320
kansas city,442028.0,39.0997222,-94.5783333,3600,-21600,-18000,0,1406770260
dasmarinas,441878.0,14.329444,120.936667,0,28800,28800,0,1406715900
pereira,440123.0,4.813333,-75.696111,0,-18000,-18000,0,1406762340
carrefour,439590.0,18.5383333,-72.4122222,3600,-18000,-14400,0,1406759100
iquitos,439114.0,-3.7480556,-73.2472222,0,-18000,-18000,0,1406761020
mawlamyine,438907.0,16.4913889,97.6255556,0,23400,23400,0,1406721660
baoji,438295.0,34.365907,107.359045,0,28800,28800,0,1406721180
kurashiki,437585.0,34.583333,133.766667,0,32400,32400,0,1406714880
garoua,436932.0,9.3,13.4,0,3600,3600,0,1406741280
mwanza,436811.0,-2.5166667,32.9,0,10800,10800,0,1406735700
kousseri,435986.0,12.0783333,15.0308333,0,3600,3600,0,1406741160
tirunelveli,435882.0,8.733333,77.7,0,19800,19800,0,1406725800
edinburgh,435794.0,55.95,-3.2,3600,0,3600,0,1406751840
malegaon,435397.0,20.55,74.533333,0,19800,19800,0,1406727600
matamoros,435159.0,25.883333,-97.5,3600,-21600,-18000,0,1406769420
kaliningrad,434959.0,54.706493,20.510951,0,10800,10800,0,1406745780
ananindeua,433956.0,-1.366667,-48.383333,0,-14400,-14400,0,1406758860
dadiangas,432571.0,6.112778,125.171667,0,28800,28800,0,1406714220
namangan,432479.0,40.9952778,71.6725,0,18000,18000,0,1406734260
katsina,432179.0,12.989428,7.600628,0,3600,3600,0,1406743020
welkom,432070.0,-27.986442,26.706612,0,7200,7200,0,1406734920
santa marta,431788.0,11.240791,-74.19904,0,-18000,-18000,0,1406762460
el mahalla el kubra,431088.0,30.9761111,31.1669444,0,7200,7200,0,1406739120
bristol,430714.0,51.45,-2.583333,3600,0,3600,0,1406750460
yokosuka,428999.0,35.283611,139.667222,0,32400,32400,0,1406713560
akola,428892.0,20.733333,77.0,0,19800,19800,0,1406727060
belgaum,428756.0,15.866667,74.5,0,19800,19800,0,1406727180
luqiao,427890.0,28.580835,121.377148,0,28800,28800,0,1406717160
bryansk,427241.0,53.252089,34.371666,0,14400,14400,0,1406742060
xalapa,425166.0,19.533333,-96.916667,3600,-21600,-18000,0,1406768640
barcelona,424819.0,10.1333333,-64.7,0,-16200,-16200,0,1406760120
chaozhou,424787.0,23.665129,116.637864,0,28800,28800,0,1406717760
gaya,423737.0,24.783333,85.0,0,19800,19800,0,1406725500
bratislava,423737.0,48.15,17.1166667,3600,3600,7200,0,1406745000
atlanta,422908.0,33.7488889,-84.3880556,3600,-18000,-14400,0,1406767140
likasi,422726.0,-10.981389,26.733333,0,7200,7200,0,1406732880
luxor,422408.0,25.6833333,32.65,0,7200,7200,0,1406738160
